Fingerprint,Description
PubchemFP239,>= 2 unsaturated non-aromatic carbon-only ring size 8
PubchemFP240,>= 2 unsaturated non-aromatic nitrogen-containing ring size 8
PubchemFP241,>= 2 unsaturated non-aromatic heteroatom-containing ring size 8
PubchemFP242,>= 1 any ring size 9
PubchemFP243,>= 1 saturated or aromatic carbon-only ring size 9
PubchemFP244,>= 1 saturated or aromatic nitrogen-containing ring size 9
PubchemFP245,>= 1 saturated or aromatic heteroatom-containing ring size 9
PubchemFP246,>= 1 unsaturated non-aromatic carbon-only ring size 9
PubchemFP247,>= 1 unsaturated non-aromatic nitrogen-containing ring size 9
PubchemFP248,>= 1 unsaturated non-aromatic heteroatom-containing ring size 9
PubchemFP249,>= 1 any ring size 10
PubchemFP250,>= 1 saturated or aromatic carbon-only ring size 10
PubchemFP251,>= 1 saturated or aromatic nitrogen-containing ring size 10
PubchemFP252,>= 1 saturated or aromatic heteroatom-containing ring size 10
PubchemFP253,>= 1 unsaturated non-aromatic carbon-only ring size 10
PubchemFP254,>= 1 unsaturated non-aromatic nitrogen-containing ring size 10
PubchemFP255,>= 1 unsaturated non-aromatic heteroatom-containing ring size 10
PubchemFP256,>= 1 aromatic ring
PubchemFP257,>= 1 hetero-aromatic ring
PubchemFP258,>= 2 aromatic rings
PubchemFP259,>= 2 hetero-aromatic rings
PubchemFP260,>= 3 aromatic rings
PubchemFP261,>= 3 hetero-aromatic rings
PubchemFP262,>= 4 aromatic rings
PubchemFP263,>= 4 hetero-aromatic rings
PubchemFP264,Li-H
PubchemFP265,Li-Li
PubchemFP266,Li-B
PubchemFP267,Li-C
PubchemFP268,Li-O
PubchemFP269,Li-F
PubchemFP270,Li-P
PubchemFP271,Li-S
PubchemFP272,Li-Cl
PubchemFP273,B-H
PubchemFP274,B-B
PubchemFP275,B-C
PubchemFP276,B-N
PubchemFP277,B-O
PubchemFP278,B-F
PubchemFP279,B-Si
PubchemFP280,B-P
PubchemFP281,B-S
PubchemFP282,B-Cl
PubchemFP283,B-Br
PubchemFP284,C-H
PubchemFP285,C-C
PubchemFP286,C-N
PubchemFP287,C-O
PubchemFP288,C-F
PubchemFP289,C-Na
PubchemFP290,C-Mg
PubchemFP291,C-Al
PubchemFP292,C-Si
PubchemFP293,C-P
PubchemFP294,C-S
PubchemFP295,C-Cl
PubchemFP296,C-As
PubchemFP297,C-Se
PubchemFP298,C-Br
PubchemFP299,C-I
PubchemFP300,N-H
PubchemFP301,N-N
PubchemFP302,N-O
PubchemFP303,N-F
PubchemFP304,N-Si
PubchemFP305,N-P
PubchemFP306,N-S
PubchemFP307,N-Cl
PubchemFP308,N-Br
PubchemFP309,O-H
PubchemFP310,O-O
PubchemFP311,O-Mg
PubchemFP312,O-Na
PubchemFP313,O-Al
PubchemFP314,O-Si
PubchemFP315,O-P
PubchemFP316,O-K
PubchemFP317,F-P
PubchemFP318,F-S
PubchemFP319,Al-H
PubchemFP320,Al-Cl
PubchemFP321,Si-H
PubchemFP322,Si-Si
PubchemFP323,Si-Cl
PubchemFP324,P-H
PubchemFP325,P-P
PubchemFP326,As-H
PubchemFP327,As-As
PubchemFP328,C(~Br)(~C)
PubchemFP329,C(~Br)(~C)(~C)
PubchemFP330,C(~Br)(~H)
PubchemFP331,C(~Br)(:C)
PubchemFP332,C(~Br)(:N)
PubchemFP333,C(~C)(~C)
PubchemFP334,C(~C)(~C)(~C)
PubchemFP335,C(~C)(~C)(~C)(~C)
PubchemFP336,C(~C)(~C)(~C)(~H)
PubchemFP337,C(~C)(~C)(~C)(~N)
PubchemFP338,C(~C)(~C)(~C)(~O)
PubchemFP339,C(~C)(~C)(~H)(~N)
PubchemFP340,C(~C)(~C)(~H)(~O)
PubchemFP341,C(~C)(~C)(~N)
PubchemFP342,C(~C)(~C)(~O)
PubchemFP343,C(~C)(~Cl)
PubchemFP344,C(~C)(~Cl)(~H)
PubchemFP345,C(~C)(~H)
PubchemFP346,C(~C)(~H)(~N)
PubchemFP347,C(~C)(~H)(~O)
PubchemFP348,C(~C)(~H)(~O)(~O)
PubchemFP349,C(~C)(~H)(~P)
PubchemFP350,C(~C)(~H)(~S)
PubchemFP351,C(~C)(~I)
PubchemFP352,C(~C)(~N)
PubchemFP353,C(~C)(~O)
PubchemFP354,C(~C)(~S)
PubchemFP355,C(~C)(~Si)
PubchemFP356,C(~C)(:C)
PubchemFP357,C(~C)(:C)(:C)
PubchemFP358,C(~C)(:C)(:N)
PubchemFP359,C(~C)(:N)
PubchemFP360,C(~C)(:N)(:N)
PubchemFP361,C(~Cl)(~Cl)
PubchemFP362,C(~Cl)(~H)
PubchemFP363,C(~Cl)(:C)
PubchemFP364,C(~F)(~F)
PubchemFP365,C(~F)(:C)
PubchemFP366,C(~H)(~N)
PubchemFP367,C(~H)(~O)
PubchemFP368,C(~H)(~O)(~O)
PubchemFP369,C(~H)(~S)
PubchemFP370,C(~H)(~Si)
PubchemFP371,C(~H)(:C)
PubchemFP372,C(~H)(:C)(:C)
PubchemFP373,C(~H)(:C)(:N)
PubchemFP374,C(~H)(:N)
PubchemFP375,C(~H)(~H)(~H)
PubchemFP376,C(~N)(~N)
PubchemFP377,C(~N)(:C)
PubchemFP378,C(~N)(:C)(:C)
PubchemFP379,C(~N)(:C)(:N)
PubchemFP380,C(~N)(:N)
PubchemFP381,C(~O)(~O)
PubchemFP382,C(~O)(:C)
PubchemFP383,C(~O)(:C)(:C)
PubchemFP384,C(~S)(:C)
PubchemFP385,C(:C)(:C)
PubchemFP386,C(:C)(:C)(:C)
PubchemFP387,C(:C)(:C)(:N)
PubchemFP388,C(:C)(:N)
PubchemFP389,C(:C)(:N)(:N)
PubchemFP390,C(:N)(:N)
PubchemFP391,N(~C)(~C)
PubchemFP392,N(~C)(~C)(~C)
PubchemFP393,N(~C)(~C)(~H)
PubchemFP394,N(~C)(~H)
PubchemFP395,N(~C)(~H)(~N)
PubchemFP396,N(~C)(~O)
PubchemFP397,N(~C)(:C)
PubchemFP398,N(~C)(:C)(:C)
PubchemFP399,N(~H)(~N)
PubchemFP400,N(~H)(:C)
PubchemFP401,N(~H)(:C)(:C)
PubchemFP402,N(~O)(~O)
PubchemFP403,N(~O)(:O)
PubchemFP404,N(:C)(:C)
PubchemFP405,N(:C)(:C)(:C)
PubchemFP406,O(~C)(~C)
PubchemFP407,O(~C)(~H)
PubchemFP408,O(~C)(~P)
PubchemFP409,O(~H)(~S)
PubchemFP410,O(:C)(:C)
PubchemFP411,P(~C)(~C)
PubchemFP412,P(~O)(~O)
PubchemFP413,S(~C)(~C)
PubchemFP414,S(~C)(~H)
PubchemFP415,S(~C)(~O)
PubchemFP416,Si(~C)(~C)
PubchemFP417,C=C
PubchemFP418,C#C
PubchemFP419,C=N
PubchemFP420,C#N
PubchemFP421,C=O
PubchemFP422,C=S
PubchemFP423,N=N
PubchemFP424,N=O
PubchemFP425,N=P
PubchemFP426,P=O
PubchemFP427,P=P
PubchemFP428,C(#C)(-C)
PubchemFP429,C(#C)(-H)
PubchemFP430,C(#N)(-C)
PubchemFP431,C(-C)(-C)(=C)
PubchemFP432,C(-C)(-C)(=N)
PubchemFP433,C(-C)(-C)(=O)
PubchemFP434,C(-C)(-Cl)(=O)
PubchemFP435,C(-C)(-H)(=C)
PubchemFP436,C(-C)(-H)(=N)
PubchemFP437,C(-C)(-H)(=O)
PubchemFP438,C(-C)(-N)(=C)
PubchemFP439,C(-C)(-N)(=N)
PubchemFP440,C(-C)(-N)(=O)
PubchemFP441,C(-C)(-O)(=O)
PubchemFP442,C(-C)(=C)
PubchemFP443,C(-C)(=N)
PubchemFP444,C(-C)(=O)
PubchemFP445,C(-Cl)(=O)
PubchemFP446,C(-H)(-N)(=C)
PubchemFP447,C(-H)(=C)
PubchemFP448,C(-H)(=N)
PubchemFP449,C(-H)(=O)
PubchemFP450,C(-N)(=C)
PubchemFP451,C(-N)(=N)
PubchemFP452,C(-N)(=O)
PubchemFP453,C(-O)(=O)
PubchemFP454,N(-C)(=C)
PubchemFP455,N(-C)(=O)
PubchemFP456,N(-O)(=O)
PubchemFP457,P(-O)(=O)
PubchemFP458,S(-C)(=O)
PubchemFP459,S(-O)(=O)
PubchemFP460,S(=O)(=O)
PubchemFP461,C-C-C#C
PubchemFP462,O-C-C=N
PubchemFP463,O-C-C=O
PubchemFP464,N:C-S-[#1]
PubchemFP465,N-C-C=C
PubchemFP466,O=S-C-C
PubchemFP467,N#C-C=C
PubchemFP468,C=N-N-C
PubchemFP469,O=S-C-N
PubchemFP470,S-S-C:C
PubchemFP471,C:C-C=C
PubchemFP472,S:C:C:C
PubchemFP473,C:N:C-C
PubchemFP474,S-C:N:C
PubchemFP475,S:C:C:N
PubchemFP476,S-C=N-C
PubchemFP477,C-O-C=C
PubchemFP478,N-N-C:C
PubchemFP479,S-C=N-[#1]
PubchemFP480,S-C-S-C
PubchemFP481,C:S:C-C
PubchemFP482,O-S-C:C
PubchemFP483,C:N-C:C
PubchemFP484,N-S-C:C
PubchemFP485,N-C:N:C
PubchemFP486,N:C:C:N
PubchemFP487,N-C:N:N
PubchemFP488,N-C=N-C
PubchemFP489,N-C=N-[#1]
PubchemFP490,N-C-S-C
PubchemFP491,C-C-C=C
PubchemFP492,C-N:C-[#1]
PubchemFP493,N-C:O:C
PubchemFP494,O=C-C:C
PubchemFP495,O=C-C:N
PubchemFP496,C-N-C:C
PubchemFP497,N:N-C-[#1]
PubchemFP498,O-C:C:N
PubchemFP499,O-C=C-C
PubchemFP500,N-C:C:N
PubchemFP501,C-S-C:C
PubchemFP502,Cl-C:C-C
PubchemFP503,N-C=C-[#1]
PubchemFP504,Cl-C:C-[#1]
PubchemFP505,N:C:N-C
PubchemFP506,Cl-C:C-O
PubchemFP507,C-C:N:C
PubchemFP508,C-C-S-C
PubchemFP509,S=C-N-C
PubchemFP510,Br-C:C-C
PubchemFP511,[#1]-N-N-[#1]
PubchemFP512,S=C-N-[#1]
PubchemFP513,C-[As]-O-[#1]
PubchemFP514,S:C:C-[#1]
PubchemFP515,O-N-C-C
PubchemFP516,N-N-C-C
PubchemFP517,[#1]-C=C-[#1]
PubchemFP518,N-N-C-N
PubchemFP519,O=C-N-N
PubchemFP520,N=C-N-C
PubchemFP521,C=C-C:C
PubchemFP522,C:N-C-[#1]
PubchemFP523,C-N-N-[#1]
PubchemFP524,N:C:C-C
PubchemFP525,C-C=C-C
PubchemFP526,[As]-C:C-[#1]
PubchemFP527,Cl-C:C-Cl
PubchemFP528,C:C:N-[#1]
PubchemFP529,[#1]-N-C-[#1]
PubchemFP530,Cl-C-C-Cl
PubchemFP531,N:C-C:C
PubchemFP532,S-C:C-C
PubchemFP533,S-C:C-[#1]
PubchemFP534,S-C:C-N
PubchemFP535,S-C:C-O
PubchemFP536,O=C-C-C
PubchemFP537,O=C-C-N
PubchemFP538,O=C-C-O
PubchemFP539,N=C-C-C
PubchemFP540,N=C-C-[#1]
PubchemFP541,C-N-C-[#1]
PubchemFP542,O-C:C-C
PubchemFP543,O-C:C-[#1]
PubchemFP544,O-C:C-N
PubchemFP545,O-C:C-O
PubchemFP546,N-C:C-C
PubchemFP547,N-C:C-[#1]
PubchemFP548,N-C:C-N
PubchemFP549,O-C-C:C
PubchemFP550,N-C-C:C
PubchemFP551,Cl-C-C-C
PubchemFP552,Cl-C-C-O
PubchemFP553,C:C-C:C
PubchemFP554,O=C-C=C
PubchemFP555,Br-C-C-C
PubchemFP556,N=C-C=C
PubchemFP557,C=C-C-C
PubchemFP558,N:C-O-[#1]
PubchemFP559,O=N-C:C
PubchemFP560,O-C-N-[#1]
PubchemFP561,N-C-N-C
PubchemFP562,Cl-C-C=O
PubchemFP563,Br-C-C=O
PubchemFP564,O-C-O-C
PubchemFP565,C=C-C=C
PubchemFP566,C:C-O-C
PubchemFP567,O-C-C-N
PubchemFP568,O-C-C-O
PubchemFP569,N#C-C-C
PubchemFP570,N-C-C-N
PubchemFP571,C:C-C-C
PubchemFP572,[#1]-C-O-[#1]
PubchemFP573,N:C:N:C
PubchemFP574,O-C-C=C
PubchemFP575,O-C-C:C-C
PubchemFP576,O-C-C:C-O
PubchemFP577,N=C-C:C-[#1]
PubchemFP578,C:C-N-C:C
PubchemFP579,C-C:C-C:C
PubchemFP580,O=C-C-C-C
PubchemFP581,O=C-C-C-N
PubchemFP582,O=C-C-C-O
PubchemFP583,C-C-C-C-C
PubchemFP584,Cl-C:C-O-C
PubchemFP585,C:C-C=C-C
PubchemFP586,C-C:C-N-C
PubchemFP587,C-S-C-C-C
PubchemFP588,N-C:C-O-[#1]
PubchemFP589,O=C-C-C=O
PubchemFP590,C-C:C-O-C
PubchemFP591,C-C:C-O-[#1]
PubchemFP592,Cl-C-C-C-C
PubchemFP593,N-C-C-C-C
PubchemFP594,N-C-C-C-N
PubchemFP595,C-O-C-C=C
PubchemFP596,C:C-C-C-C
PubchemFP597,N=C-N-C-C
PubchemFP598,O=C-C-C:C
PubchemFP599,Cl-C:C:C-C
PubchemFP600,[#1]-C-C=C-[#1]
PubchemFP601,N-C:C:C-C
PubchemFP602,N-C:C:C-N
PubchemFP603,O=C-C-N-C
PubchemFP604,C-C:C:C-C
PubchemFP605,C-O-C-C:C
PubchemFP606,O=C-C-O-C
PubchemFP607,O-C:C-C-C
PubchemFP608,N-C-C-C:C
PubchemFP609,C-C-C-C:C
PubchemFP610,Cl-C-C-N-C
PubchemFP611,C-O-C-O-C
PubchemFP612,N-C-C-N-C
PubchemFP613,N-C-O-C-C
PubchemFP614,C-N-C-C-C
PubchemFP615,C-C-O-C-C
PubchemFP616,N-C-C-O-C
PubchemFP617,C:C:N:N:C
PubchemFP618,C-C-C-O-[#1]
PubchemFP619,C:C-C-C:C
PubchemFP620,O-C-C=C-C
PubchemFP621,C:C-O-C-C
PubchemFP622,N-C:C:C:N
PubchemFP623,O=C-O-C:C
PubchemFP624,O=C-C:C-C
PubchemFP625,O=C-C:C-N
PubchemFP626,O=C-C:C-O
PubchemFP627,C-O-C:C-C
PubchemFP628,O=[As]-C:C:C
PubchemFP629,C-N-C-C:C
PubchemFP630,S-C:C:C-N
PubchemFP631,O-C:C-O-C
PubchemFP632,O-C:C-O-[#1]
PubchemFP633,C-C-O-C:C
PubchemFP634,N-C-C:C-C
PubchemFP635,C-C-C:C-C
PubchemFP636,N-N-C-N-[#1]
PubchemFP637,C-N-C-N-C
PubchemFP638,O-C-C-C-C
PubchemFP639,O-C-C-C-N
PubchemFP640,O-C-C-C-O
PubchemFP641,C=C-C-C-C
PubchemFP642,O-C-C-C=C
PubchemFP643,O-C-C-C=O
PubchemFP644,[#1]-C-C-N-[#1]
PubchemFP645,C-C=N-N-C
PubchemFP646,O=C-N-C-C
PubchemFP647,O=C-N-C-[#1]
PubchemFP648,O=C-N-C-N
PubchemFP649,O=N-C:C-N
PubchemFP650,O=N-C:C-O
PubchemFP651,O=C-N-C=O
PubchemFP652,O-C:C:C-C
PubchemFP653,O-C:C:C-N
PubchemFP654,O-C:C:C-O
PubchemFP655,N-C-N-C-C
PubchemFP656,O-C-C-C:C
PubchemFP657,C-C-N-C-C
PubchemFP658,C-N-C:C-C
PubchemFP659,C-C-S-C-C
PubchemFP660,O-C-C-N-C
PubchemFP661,C-C=C-C-C
PubchemFP662,O-C-O-C-C
PubchemFP663,O-C-C-O-C
PubchemFP664,O-C-C-O-[#1]
PubchemFP665,C-C=C-C=C
PubchemFP666,N-C:C-C-C
PubchemFP667,C=C-C-O-C
PubchemFP668,C=C-C-O-[#1]
PubchemFP669,C-C:C-C-C
PubchemFP670,Cl-C:C-C=O
PubchemFP671,Br-C:C:C-C
PubchemFP672,O=C-C=C-C
PubchemFP673,O=C-C=C-[#1]
PubchemFP674,O=C-C=C-N
PubchemFP675,N-C-N-C:C
PubchemFP676,Br-C-C-C:C
PubchemFP677,N#C-C-C-C
PubchemFP678,C-C=C-C:C
PubchemFP679,C-C-C=C-C
